32.1260 	EXP 	fixation: autoDraw = False
32.1260 	EXP 	text: autoDraw = False
32.1260 	EXP 	text: height = 0.05
32.1260 	EXP 	text: height = 0.05
32.1260 	EXP 	text: height = 0.05
32.1260 	EXP 	text: text = 'GBP 134 today or GBP 200 after 207 days'
32.1260 	EXP 	fixation: autoDraw = True
33.1140 	EXP 	text: autoDraw = True
33.1252 	EXP 	fixation: autoDraw = False
34.7642 	EXP 	New trial (rep=0, index=7): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
34.7723 	DATA 	Keypress: t
34.7806 	EXP 	fixation: autoDraw = False
34.7806 	EXP 	text: autoDraw = False
34.7806 	EXP 	text: height = 0.05
34.7806 	EXP 	text: height = 0.05
34.7806 	EXP 	text: height = 0.05
34.7806 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
34.7806 	EXP 	fixation: autoDraw = True
35.7697 	EXP 	text: autoDraw = True
35.7808 	EXP 	fixation: autoDraw = False
36.7725 	EXP 	New trial (rep=0, index=8): {'reward_today': 90, 'future_reward': 100, 'delay': 170}
36.7805 	DATA 	Keypress: l
36.7920 	EXP 	fixation: autoDraw = False
36.7920 	EXP 	text: autoDraw = False
36.7920 	EXP 	text: height = 0.05
36.7920 	EXP 	text: height = 0.05
36.7920 	EXP 	text: height = 0.05
36.7920 	EXP 	text: text = 'GBP 90 today or GBP 100 after 170 days'
36.7920 	EXP 	fixation: autoDraw = True
37.7813 	EXP 	text: autoDraw = True
37.7923 	EXP 	fixation: autoDraw = False
39.2282 	EXP 	New trial (rep=0, index=9): {'reward_today': 49, 'future_reward': 60, 'delay': 89}
39.2361 	DATA 	Keypress: t
39.2475 	EXP 	fixation: autoDraw = False
39.2475 	EXP 	text: autoDraw = False
39.2475 	EXP 	text: height = 0.05
39.2475 	EXP 	text: height = 0.05
39.2475 	EXP 	text: height = 0.05
39.2475 	EXP 	text: text = 'GBP 49 today or GBP 60 after 89 days'
39.2475 	EXP 	fixation: autoDraw = True
40.2368 	EXP 	text: autoDraw = True
40.2478 	EXP 	fixation: autoDraw = False
41.4607 	EXP 	New trial (rep=1, index=0): {'reward_today': 134, 'future_reward': 200, 'delay': 207}
41.4689 	DATA 	Keypress: t
41.4812 	EXP 	fixation: autoDraw = False
41.4812 	EXP 	text: autoDraw = False
41.4812 	EXP 	text: height = 0.05
41.4812 	EXP 	text: height = 0.05
41.4812 	EXP 	text: height = 0.05
41.4812 	EXP 	text: text = 'GBP 134 today or GBP 200 after 207 days'
41.4812 	EXP 	fixation: autoDraw = True
42.4696 	EXP 	text: autoDraw = True
42.4809 	EXP 	fixation: autoDraw = False
44.5724 	EXP 	New trial (rep=1, index=1): {'reward_today': 49, 'future_reward': 60, 'delay': 89}
44.5801 	DATA 	Keypress: t
44.5919 	EXP 	fixation: autoDraw = False
44.5919 	EXP 	text: autoDraw = False
44.5919 	EXP 	text: height = 0.05
44.5919 	EXP 	text: height = 0.05
44.5919 	EXP 	text: height = 0.05
44.5919 	EXP 	text: text = 'GBP 49 today or GBP 60 after 89 days'
44.5919 	EXP 	fixation: autoDraw = True
45.5805 	EXP 	text: autoDraw = True
45.5915 	EXP 	fixation: autoDraw = False
45.8499 	EXP 	New trial (rep=1, index=2): {'reward_today': 27, 'future_reward': 50, 'delay': 21}
45.8577 	DATA 	Keypress: l
45.8699 	EXP 	fixation: autoDraw = False
45.8699 	EXP 	text: autoDraw = False
45.8699 	EXP 	text: height = 0.05
45.8699 	EXP 	text: height = 0.05
45.8699 	EXP 	text: height = 0.05
45.8699 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
45.8699 	EXP 	fixation: autoDraw = True
46.8583 	EXP 	text: autoDraw = True
46.8693 	EXP 	fixation: autoDraw = False
47.2273 	EXP 	New trial (rep=1, index=3): {'reward_today': 15, 'future_reward': 35, 'delay': 13}
47.2349 	DATA 	Keypress: l
47.2397 	EXP 	fixation: autoDraw = False
47.2397 	EXP 	text: autoDraw = False
47.2397 	EXP 	text: height = 0.05
47.2397 	EXP 	text: height = 0.05
47.2397 	EXP 	text: height = 0.05
47.2397 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
47.2397 	EXP 	fixation: autoDraw = True
48.2292 	EXP 	text: autoDraw = True
48.2404 	EXP 	fixation: autoDraw = False
48.6420 	EXP 	New trial (rep=1, index=4): {'reward_today': 40, 'future_reward': 55, 'delay': 62}
48.6494 	DATA 	Keypress: t
48.6592 	EXP 	fixation: autoDraw = False
48.6592 	EXP 	text: autoDraw = False
48.6592 	EXP 	text: height = 0.05
48.6592 	EXP 	text: height = 0.05
48.6592 	EXP 	text: height = 0.05
48.6592 	EXP 	text: text = 'GBP 40 today or GBP 55 after 62 days'
48.6592 	EXP 	fixation: autoDraw = True
49.6477 	EXP 	text: autoDraw = True
49.6585 	EXP 	fixation: autoDraw = False
49.9499 	EXP 	New trial (rep=1, index=5): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
49.9576 	DATA 	Keypress: l
49.9701 	EXP 	fixation: autoDraw = False
49.9701 	EXP 	text: autoDraw = False
49.9701 	EXP 	text: height = 0.05
49.9701 	EXP 	text: height = 0.05
49.9701 	EXP 	text: height = 0.05
49.9701 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
49.9701 	EXP 	fixation: autoDraw = True
50.9583 	EXP 	text: autoDraw = True
50.9693 	EXP 	fixation: autoDraw = False
51.7048 	EXP 	New trial (rep=1, index=6): {'reward_today': 100, 'future_reward': 150, 'delay': 176}
51.7133 	DATA 	Keypress: t
51.7256 	EXP 	fixation: autoDraw = False
51.7256 	EXP 	text: autoDraw = False
51.7256 	EXP 	text: height = 0.05
51.7256 	EXP 	text: height = 0.05
51.7256 	EXP 	text: height = 0.05
51.7256 	EXP 	text: text = 'GBP 100 today or GBP 150 after 176 days'
51.7256 	EXP 	fixation: autoDraw = True
52.7026 	EXP 	text: autoDraw = True
52.7255 	EXP 	fixation: autoDraw = False
53.0385 	EXP 	New trial (rep=1, index=7): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
53.0462 	DATA 	Keypress: l
53.0592 	EXP 	fixation: autoDraw = False
53.0592 	EXP 	text: autoDraw = False
53.0592 	EXP 	text: height = 0.05
53.0592 	EXP 	text: height = 0.05
53.0592 	EXP 	text: height = 0.05
53.0592 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
53.0592 	EXP 	fixation: autoDraw = True
54.0481 	EXP 	text: autoDraw = True
54.0584 	EXP 	fixation: autoDraw = False
54.8160 	EXP 	New trial (rep=1, index=8): {'reward_today': 90, 'future_reward': 100, 'delay': 170}
54.8236 	DATA 	Keypress: t
54.8365 	EXP 	fixation: autoDraw = False
54.8365 	EXP 	text: autoDraw = False
54.8365 	EXP 	text: height = 0.05
54.8365 	EXP 	text: height = 0.05
54.8365 	EXP 	text: height = 0.05
54.8365 	EXP 	text: text = 'GBP 90 today or GBP 100 after 170 days'
54.8365 	EXP 	fixation: autoDraw = True
55.8250 	EXP 	text: autoDraw = True
55.8363 	EXP 	fixation: autoDraw = False
56.2500 	EXP 	New trial (rep=1, index=9): {'reward_today': 78, 'future_reward': 80, 'delay': 162}
56.2580 	DATA 	Keypress: l
56.2698 	EXP 	fixation: autoDraw = False
56.2698 	EXP 	text: autoDraw = False
56.2698 	EXP 	text: height = 0.05
56.2698 	EXP 	text: height = 0.05
56.2698 	EXP 	text: height = 0.05
56.2698 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
